datetime,function,payer,receiver,days,net_frac,cpu_frac,max_payment,queue_max
12/31/2019 20:00:57,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,726869162364,726869162364,5000000.0001,0
12/31/2019 21:00:58,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,510421543202,510421543202,5000000.0001,0
12/31/2019 22:00:58,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,837207775320,837207775320,5000000.0001,0
12/31/2019 23:00:59,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,574798058110,574798058110,5000000.0001,0
01/01/2020 00:00:59,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,533022753646,533022753646,5000000.0001,0
01/01/2020 01:01:00,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,546855897420,546855897420,5000000.0001,0
01/01/2020 02:01:00,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,374518232066,374518232066,5000000.0001,0
01/01/2020 03:01:01,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,480684398129,480684398129,5000000.0001,0
01/01/2020 04:01:01,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,409655628750,409655628750,5000000.0001,0
01/01/2020 05:01:02,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,611876584800,611876584800,5000000.0001,0
01/01/2020 06:01:02,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,288310976086,288310976086,5000000.0001,0
01/01/2020 07:01:03,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,476271242323,476271242323,5000000.0001,0
01/01/2020 08:01:03,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,465132154739,465132154739,5000000.0001,0
01/01/2020 09:01:04,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,339329256986,339329256986,5000000.0001,0
01/01/2020 10:01:04,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,569363790547,569363790547,5000000.0001,0
01/02/2020 11:01:04,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,890972859069,890972859069,5000000.0001,0
01/02/2020 12:01:05,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,497556759340,497556759340,5000000.0001,0
01/02/2020 13:01:05,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,375082121376,375082121376,5000000.0001,0
01/02/2020 14:01:06,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,346848702389,346848702389,5000000.0001,0
01/02/2020 15:01:06,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,538036111878,538036111878,5000000.0001,0
01/02/2020 16:01:07,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,939568512399,939568512399,5000000.0001,0
01/02/2020 17:01:07,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,221298580870,221298580870,5000000.0001,0
01/02/2020 18:01:08,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,926147596634,926147596634,5000000.0001,0
01/02/2020 19:01:08,rentbw,aaaaaaaaaaaa,aaaaaaaaaaaa,30,545470989708,545470989708,5000000.0001,0
